repo,path,sha,date_time,previous_content,content,levenshtein_distance,bcompare
prometheus/exporter-toolkit,SECURITY.md,38846dcae80877634ff834daf61860a8fc9b91f2,2021-01-17 00:04:48+00:00,,"# Reporting a security issue

The Prometheus security policy, including how to report vulnerabilities, can be
found here:

https://prometheus.io/docs/operating/security/
",170,b prometheus/exporter-toolkit 38846dcae80877634ff834daf61860a8fc9b91f2
prometheus/exporter-toolkit,SECURITY.md,e1e02c1ad5b18a830300a25df3fd269bd1a645f9,2022-05-07 19:50:55+00:00,"# Reporting a security issue

The Prometheus security policy, including how to report vulnerabilities, can be
found here:

https://prometheus.io/docs/operating/security/
","# Reporting a security issue

The Prometheus security policy, including how to report vulnerabilities, can be
found here:

<https://prometheus.io/docs/operating/security/>
",2,b prometheus/exporter-toolkit e1e02c1ad5b18a830300a25df3fd269bd1a645f9
