repo,path,sha,date_time,previous_content,content,levenshtein_distance,bcompare
FastReports/FastReport,SECURITY.md,3c73332251af5dcb6dc6907763a66d9a6bc581a0,2021-11-19 09:32:19+00:00,,"# Security Policy

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| > 2020.4.x   | :white_check_mark: |
| < 2020.3.x   | :x:                |

## Reporting a Vulnerability

We take information about vulnerabilities with Issue. 
We try to respond to such reports as quickly as possible. 
We also constantly monitor any public information about vulnerabilities in our product.
If the vulnerability is confirmed after Issue investigation, fixes will be made to the code immediately to fix the vulnerability.
",547,b FastReports/FastReport 3c73332251af5dcb6dc6907763a66d9a6bc581a0
FastReports/FastReport,SECURITY.md,eddbf46b2f93f384717f90bd7b85e11efaac3274,2022-11-11 08:36:23+00:00,"# Security Policy

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| > 2020.4.x   | :white_check_mark: |
| < 2020.3.x   | :x:                |

## Reporting a Vulnerability

We take information about vulnerabilities with Issue. 
We try to respond to such reports as quickly as possible. 
We also constantly monitor any public information about vulnerabilities in our product.
If the vulnerability is confirmed after Issue investigation, fixes will be made to the code immediately to fix the vulnerability.
","# Security Policy

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| > 2022.3.x   | :white_check_mark: |
| < 2022.2.x   | :x:                |

## Reporting a Vulnerability

We take information about vulnerabilities with Issue. 
We try to respond to such reports as quickly as possible. 
We also constantly monitor any public information about vulnerabilities in our product.
If the vulnerability is confirmed after Issue investigation, fixes will be made to the code immediately to fix the vulnerability.
",4,b FastReports/FastReport eddbf46b2f93f384717f90bd7b85e11efaac3274
FastReports/FastReport,SECURITY.md,8977078a397e309379dfae55441ef3fcc3104c0e,2023-03-20 12:19:01+00:00,"# Security Policy

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| > 2022.3.x   | :white_check_mark: |
| < 2022.2.x   | :x:                |

## Reporting a Vulnerability

We take information about vulnerabilities with Issue. 
We try to respond to such reports as quickly as possible. 
We also constantly monitor any public information about vulnerabilities in our product.
If the vulnerability is confirmed after Issue investigation, fixes will be made to the code immediately to fix the vulnerability.
","# Security Policy

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| > 2023.2.x   | :white_check_mark: |
| < 2023.1.x   | :x:                |

## Reporting a Vulnerability

We take information about vulnerabilities with Issue. 
We try to respond to such reports as quickly as possible. 
We also constantly monitor any public information about vulnerabilities in our product.
If the vulnerability is confirmed after Issue investigation, fixes will be made to the code immediately to fix the vulnerability.
",4,b FastReports/FastReport 8977078a397e309379dfae55441ef3fcc3104c0e
