repo,path,sha,date_time,previous_content,content,levenshtein_distance,bcompare
kanboard/kanboard,SECURITY.md,a66c357f4e4880dff9cf0555461cec4caa1edf21,2021-03-31 03:55:28+00:00,,"# Security Policy

## Supported Versions

Only the latest stable version is supported.

## Reporting a Vulnerability

Do not open a new GitHub issue if the bug is a security vulnerability.

Send an email to `security AT kanboard DOT net` will all the steps to reproduce the problem.
",283,b kanboard/kanboard a66c357f4e4880dff9cf0555461cec4caa1edf21
kanboard/kanboard,SECURITY.md,09424e067ccca767a3abab92144077114e5cab15,2021-04-10 01:13:59+00:00,"# Security Policy

## Supported Versions

Only the latest stable version is supported.

## Reporting a Vulnerability

Do not open a new GitHub issue if the bug is a security vulnerability.

Send an email to `security AT kanboard DOT net` will all the steps to reproduce the problem.
","# Security Policy

## Supported Versions

Only the latest stable version is supported.

## Reporting a Vulnerability

Do not open a new GitHub issue if the bug is a security vulnerability.

Send an email to `security AT kanboard DOT net` with all the steps to reproduce the problem.
",2,b kanboard/kanboard 09424e067ccca767a3abab92144077114e5cab15
kanboard/kanboard,SECURITY.md,71123b0f378425229db6911984a90f5ee9953420,2021-06-05 21:59:12+00:00,"# Security Policy

## Supported Versions

Only the latest stable version is supported.

## Reporting a Vulnerability

Do not open a new GitHub issue if the bug is a security vulnerability.

Send an email to `security AT kanboard DOT net` with all the steps to reproduce the problem.
","# Security Policy

## Supported Versions

Only the latest stable version is supported.

## Reporting a Vulnerability

Do not open a new GitHub issue if the bug is a security vulnerability.

Send an email to `security AT kanboard DOT net` with all the steps to reproduce the problem.

**This software is in maintenance mode**. Low severity or harmless issues won't be fixed.
",91,b kanboard/kanboard 71123b0f378425229db6911984a90f5ee9953420
kanboard/kanboard,SECURITY.md,ce3e8ca6bb28c6e4ceaee1a5425c2940f71b2443,2023-03-14 02:46:25+00:00,"# Security Policy

## Supported Versions

Only the latest stable version is supported.

## Reporting a Vulnerability

Do not open a new GitHub issue if the bug is a security vulnerability.

Send an email to `security AT kanboard DOT net` with all the steps to reproduce the problem.

**This software is in maintenance mode**. Low severity or harmless issues won't be fixed.
","# Security Policy

## Supported Versions

Only the latest stable version is supported.

## Reporting a Vulnerability

Do not open a new GitHub issue if the bug is a security vulnerability.

Preferably, [report the vulnerability privately using GitHub](https://github.com/kanboard/kanboard/security/advisories/new) ([documentation](https://docs.github.com/en/code-security/security-advisories/guidance-on-reporting-and-writing/privately-reporting-a-security-vulnerability)).

If you do not want to use GitHub, send an email to `security AT kanboard DOT net` with all the steps to reproduce the problem.

Keep in mind that **this software is in maintenance mode**.
",378,b kanboard/kanboard ce3e8ca6bb28c6e4ceaee1a5425c2940f71b2443
