repo,path,sha,date_time,previous_content,content,levenshtein_distance,bcompare
julianhille/MuhammaraJS,SECURITY.md,9a98ae278c0377a21450cfa3e8675e93374cff92,2022-11-01 13:08:09+00:00,,"# Security Policy

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.x     | :white_check_mark: |
| 2.6.x   | :white_check_mark: |
| < 2.6.x   | :x:              |

## Reporting a Vulnerability

Please report any vulnaribility through email.
",285,b julianhille/MuhammaraJS 9a98ae278c0377a21450cfa3e8675e93374cff92
julianhille/MuhammaraJS,SECURITY.md,5266dacb35c371742f2d01829b29dc8411670367,2022-11-03 23:02:49+00:00,"# Security Policy

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.x     | :white_check_mark: |
| 2.6.x   | :white_check_mark: |
| < 2.6.x   | :x:              |

## Reporting a Vulnerability

Please report any vulnaribility through email.
","# Security Policy

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.x     | :white_check_mark: |
| 2.6.x   | :white_check_mark: |
| < 2.6.x | :x:                |

## Reporting a Vulnerability

Please report any vulnaribility through email.
",4,b julianhille/MuhammaraJS 5266dacb35c371742f2d01829b29dc8411670367
