repo,path,sha,date_time,previous_content,content,levenshtein_distance,bcompare
foxcpp/maddy,.github/SECURITY.md,5850da22a01576640f81a8a6965564ef5a494c0e,2019-08-25 23:06:10+00:00,,"# Security Policy

## Supported Versions

Latest master commit and last two incompatible releases (e.g. 2.0.0 and 1.9.0).

## Reporting a Vulnerability

If you believe the vulnerabilities does have a big impact - email 
`fox.cpp at disroot.org`, put ""[maddy security]"" in the Subject.

Otherwise, open a public issue.
",318,b foxcpp/maddy 5850da22a01576640f81a8a6965564ef5a494c0e
foxcpp/maddy,.github/SECURITY.md,e0da30eb54d385b04660ca5dcf0b8b27f57b0a46,2020-05-10 19:01:24+00:00,"# Security Policy

## Supported Versions

Latest master commit and last two incompatible releases (e.g. 2.0.0 and 1.9.0).

## Reporting a Vulnerability

If you believe the vulnerabilities does have a big impact - email 
`fox.cpp at disroot.org`, put ""[maddy security]"" in the Subject.

Otherwise, open a public issue.
","# Security Policy

## Supported Versions

Two latest incompatible releases (e.g. 2.0.0 and 1.9.0).

Latest release gets all bug fixes, features, etc. Previous incompatible release
gets security fixes and fixes for problems that render software completely
unusable in certain configurations with no workaround.

## Reporting a Vulnerability

If you believe the vulnerabilitiy does have a big impact on existing
deployments - email `fox.cpp at disroot.org`, put ""[maddy security]"" in the
Subject.

Otherwise, open a public issue.
",241,b foxcpp/maddy e0da30eb54d385b04660ca5dcf0b8b27f57b0a46
