repo,path,sha,date_time,previous_content,content,levenshtein_distance,bcompare
web-auth/webauthn-framework,SECURITY.md,29a1f374100f28580e955b250361adb9b2b0166c,2020-06-20 17:12:36+00:00,,"# Security Policy

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.2.x   | :white_check_mark: |
| < 3.2.x | :x: *except security issues until end of 2020* |

## Reporting a Vulnerability

If you think you have found a security issue, DO NOT open an issue. You MUST submit your issue at https://gitter.im/Spomky/.
",358,b web-auth/webauthn-framework 29a1f374100f28580e955b250361adb9b2b0166c
web-auth/webauthn-framework,SECURITY.md,07fbcfe07a5d4bba5d739ddefb003098732734bb,2021-06-21 10:14:10+00:00,"# Security Policy

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.2.x   | :white_check_mark: |
| < 3.2.x | :x: *except security issues until end of 2020* |

## Reporting a Vulnerability

If you think you have found a security issue, DO NOT open an issue. You MUST submit your issue at https://gitter.im/Spomky/.
","# Security Policy

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 4.0.x   | :white_check_mark: |
| 3.3.x   | :white_check_mark: |
| < 3.3.x | :x: *except security issues until end of 2020* |

## Reporting a Vulnerability

If you think you have found a security issue, DO NOT open an issue. You MUST submit your issue at https://gitter.im/Spomky/.
",35,b web-auth/webauthn-framework 07fbcfe07a5d4bba5d739ddefb003098732734bb
web-auth/webauthn-framework,SECURITY.md,8f5303c20411208405a679b39b0172623366ec87,2021-06-21 10:14:34+00:00,"# Security Policy

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 4.0.x   | :white_check_mark: |
| 3.3.x   | :white_check_mark: |
| < 3.3.x | :x: *except security issues until end of 2020* |

## Reporting a Vulnerability

If you think you have found a security issue, DO NOT open an issue. You MUST submit your issue at https://gitter.im/Spomky/.
","# Security Policy

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 4.0.x   | :white_check_mark: |
| 3.3.x   | :white_check_mark: |
| < 3.3.x | :x: *except security issues until end of 2021* |

## Reporting a Vulnerability

If you think you have found a security issue, DO NOT open an issue. You MUST submit your issue at https://gitter.im/Spomky/.
",1,b web-auth/webauthn-framework 8f5303c20411208405a679b39b0172623366ec87
web-auth/webauthn-framework,SECURITY.md,3fe399107a16a0f66210096b8fa9209a80c426c9,2021-06-21 10:14:51+00:00,"# Security Policy

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 4.0.x   | :white_check_mark: |
| 3.3.x   | :white_check_mark: |
| < 3.3.x | :x: *except security issues until end of 2021* |

## Reporting a Vulnerability

If you think you have found a security issue, DO NOT open an issue. You MUST submit your issue at https://gitter.im/Spomky/.
","# Security Policy

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 4.0.x   | :white_check_mark: |
| 3.3.x   | :white_check_mark: |
| < 3.3.x | :x: |

## Reporting a Vulnerability

If you think you have found a security issue, DO NOT open an issue. You MUST submit your issue at https://gitter.im/Spomky/.
",43,b web-auth/webauthn-framework 3fe399107a16a0f66210096b8fa9209a80c426c9
web-auth/webauthn-framework,SECURITY.md,30528033886ad58d3ff5ee347143c5c2f54f6094,2022-03-06 18:08:39+00:00,"# Security Policy

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 4.0.x   | :white_check_mark: |
| 3.3.x   | :white_check_mark: |
| < 3.3.x | :x: |

## Reporting a Vulnerability

If you think you have found a security issue, DO NOT open an issue. You MUST submit your issue at https://gitter.im/Spomky/.
","# Security Policy

## Supported Versions

| Version | Supported          |
| ------- |--------------------|
| 4.0.x   | :white_check_mark: |
| 3.3.x   | :white_check_mark: |
| < 3.3.x | :x:                |

## Reporting a Vulnerability

If you think you have found a security issue, DO NOT open an issue. You MUST submit your issue at https://gitter.im/Spomky/.
",17,b web-auth/webauthn-framework 30528033886ad58d3ff5ee347143c5c2f54f6094
web-auth/webauthn-framework,SECURITY.md,10ba8ef141849aeed13557879109e5094217cc59,2022-04-27 10:03:53+00:00,"# Security Policy

## Supported Versions

| Version | Supported          |
| ------- |--------------------|
| 4.0.x   | :white_check_mark: |
| 3.3.x   | :white_check_mark: |
| < 3.3.x | :x:                |

## Reporting a Vulnerability

If you think you have found a security issue, DO NOT open an issue. You MUST submit your issue at https://gitter.im/Spomky/.
","# Security Policy

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 4.0.x   | :white_check_mark: |
| 3.3.x   | :white_check_mark: |
| < 3.3.x | :x:                |

## Reporting a Vulnerability

If you think you have found a security issue, DO NOT open an issue. You MUST submit your issue at https://gitter.im/Spomky/.
",2,b web-auth/webauthn-framework 10ba8ef141849aeed13557879109e5094217cc59
web-auth/webauthn-framework,SECURITY.md,19a17d377114cf069503ee88a5315f2a0d97e14a,2022-07-07 16:43:18+00:00,"# Security Policy

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 4.0.x   | :white_check_mark: |
| 3.3.x   | :white_check_mark: |
| < 3.3.x | :x:                |

## Reporting a Vulnerability

If you think you have found a security issue, DO NOT open an issue. You MUST submit your issue at https://gitter.im/Spomky/.
","# Security Policy

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 4.0.x   | :white_check_mark: |
| 3.3.x   | :white_check_mark: |
| < 3.3.x | :x:                |

## Reporting a Vulnerability

If you think you have found a security issue, DO NOT open an issue. You MUST email your issue: contact at spomky-labs.com.
",32,b web-auth/webauthn-framework 19a17d377114cf069503ee88a5315f2a0d97e14a
web-auth/webauthn-framework,SECURITY.md,95f74fa48d04e446743df6c66f9346681e168e5f,2022-08-29 17:23:55+00:00,"# Security Policy

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 4.0.x   | :white_check_mark: |
| 3.3.x   | :white_check_mark: |
| < 3.3.x | :x:                |

## Reporting a Vulnerability

If you think you have found a security issue, DO NOT open an issue. You MUST email your issue: contact at spomky-labs.com.
","# Security Policy

## Supported Versions

| Version | Supported          |
|---------| ------------------ |
| 4.x.x   | :white_check_mark: |
| 3.3.x   | :white_check_mark: |
| < 3.3.x | :x:                |

## Reporting a Vulnerability

If you think you have found a security issue, DO NOT open an issue. You MUST email your issue: security AT
spomky-labs.com.
",13,b web-auth/webauthn-framework 95f74fa48d04e446743df6c66f9346681e168e5f
