repo,path,sha,date_time,previous_content,content,levenshtein_distance,bcompare
TandoorRecipes/recipes,SECURITY.md,f822e03be049c7315648c4bf465278515d2f27a0,2020-12-31 12:11:00+00:00,,"# Security Policy

## Supported Versions

Since this software is still considered beta/WIP support is always only given for the latest version. There are no backports of security or any other fixes.

## Reporting a Vulnerability

Please open a normal public issue if you have any security related concerns. If you feel like the issue should not be discussed in 
public just open a generic issue and we will discuss further communitcation there (since GitHub does not allow everyone to create a security advisory :/).
",517,b TandoorRecipes/recipes f822e03be049c7315648c4bf465278515d2f27a0
TandoorRecipes/recipes,SECURITY.md,c20e982fb1f8f6befa7549c9e148410032d92d16,2022-01-19 23:50:41+00:00,"# Security Policy

## Supported Versions

Since this software is still considered beta/WIP support is always only given for the latest version. There are no backports of security or any other fixes.

## Reporting a Vulnerability

Please open a normal public issue if you have any security related concerns. If you feel like the issue should not be discussed in 
public just open a generic issue and we will discuss further communitcation there (since GitHub does not allow everyone to create a security advisory :/).
","# Security Policy

## Supported Versions

Since this software is still considered beta/WIP support is always only given for the latest version. There are no backports of security or any other fixes.

## Reporting a Vulnerability

Please open a normal public issue if you have any security related concerns. If you feel like the issue should not be discussed in 
public just open a generic issue and we will discuss further communication there (since GitHub does not allow everyone to create a security advisory :/).
",1,b TandoorRecipes/recipes c20e982fb1f8f6befa7549c9e148410032d92d16
TandoorRecipes/recipes,SECURITY.md,9e44944b1ddd18ef33e44631ecfe713518f5887d,2022-10-08 08:08:52+00:00,"# Security Policy

## Supported Versions

Since this software is still considered beta/WIP support is always only given for the latest version. There are no backports of security or any other fixes.

## Reporting a Vulnerability

Please open a normal public issue if you have any security related concerns. If you feel like the issue should not be discussed in 
public just open a generic issue and we will discuss further communication there (since GitHub does not allow everyone to create a security advisory :/).
","# Security Policy

## Supported Versions

Since this software is still considered beta/WIP support is always only given for the latest version. There are no backports of security or any other fixes.

## Reporting a Vulnerability

Please open a normal public issue if you have any security related concerns. If you feel like the issue should not be discussed in public just open a generic issue and we will discuss further communication there (since GitHub does not allow everyone to create a security advisory :/).
",1,b TandoorRecipes/recipes 9e44944b1ddd18ef33e44631ecfe713518f5887d
TandoorRecipes/recipes,SECURITY.md,a8a590a942159c75abc3ab0a7e1a6fcaffea1a37,2022-11-10 11:46:29+00:00,"# Security Policy

## Supported Versions

Since this software is still considered beta/WIP support is always only given for the latest version. There are no backports of security or any other fixes.

## Reporting a Vulnerability

Please open a normal public issue if you have any security related concerns. If you feel like the issue should not be discussed in public just open a generic issue and we will discuss further communication there (since GitHub does not allow everyone to create a security advisory :/).
","# Security Policy

## Supported Versions

Since this software is still considered beta/WIP support is always only given for the latest version. There are no backports of security or any other fixes.

## Reporting a Vulnerability

Please use GitHub Security Advisories to report any kind of security vulnerabilities.
",226,b TandoorRecipes/recipes a8a590a942159c75abc3ab0a7e1a6fcaffea1a37
