repo,path,sha,date_time,previous_content,content,levenshtein_distance,bcompare
reg-viz/reg-suit,.github/SECURITY.md,9ba2fd4aa361cf802b59f88bc16db183fed1ce09,2021-06-08 02:45:39+00:00,,"# Security Policy

## Supported Versions

<!--
Use this section to tell people about which versions of your project are
currently being supported with security updates.
-->

|  Version  | Supported          | Reference |
| :-------- | :----------------: | :-------- |
| 0.10.16   | :white_check_mark: |           |
| < 0.10.16 | :x:                | [Advisory](https://github.com/reg-viz/reg-suit/security/advisories/GHSA-49q3-8867-5wmp) |

<!--
## Reporting a Vulnerability

Use this section to tell people how to report a vulnerability.

Tell them where to go, how often they can expect to get an update on a
reported vulnerability, what to expect if the vulnerability is accepted or
declined, etc.
-->
",705,b reg-viz/reg-suit 9ba2fd4aa361cf802b59f88bc16db183fed1ce09
reg-viz/reg-suit,.github/SECURITY.md,70f76bd27ff1571448db22062903d5214898f85f,2021-06-09 01:01:15+00:00,"# Security Policy

## Supported Versions

<!--
Use this section to tell people about which versions of your project are
currently being supported with security updates.
-->

|  Version  | Supported          | Reference |
| :-------- | :----------------: | :-------- |
| 0.10.16   | :white_check_mark: |           |
| < 0.10.16 | :x:                | [Advisory](https://github.com/reg-viz/reg-suit/security/advisories/GHSA-49q3-8867-5wmp) |

<!--
## Reporting a Vulnerability

Use this section to tell people how to report a vulnerability.

Tell them where to go, how often they can expect to get an update on a
reported vulnerability, what to expect if the vulnerability is accepted or
declined, etc.
-->
","# Security Policy

## Supported Versions

<!--
Use this section to tell people about which versions of your project are
currently being supported with security updates.
-->

| Version   |     Supported      | Reference                                                                               |
| :-------- | :----------------: | :-------------------------------------------------------------------------------------- |
| 0.10.16   | :white_check_mark: |                                                                                         |
| < 0.10.16 |        :x:         | [Advisory](https://github.com/reg-viz/reg-suit/security/advisories/GHSA-49q3-8867-5wmp) |

<!--
## Reporting a Vulnerability

Use this section to tell people how to report a vulnerability.

Tell them where to go, how often they can expect to get an update on a
reported vulnerability, what to expect if the vulnerability is accepted or
declined, etc.
-->
",250,b reg-viz/reg-suit 70f76bd27ff1571448db22062903d5214898f85f
